Country.or.area,ISO.code,Year,DataValue,Estimating.Methods,DataProcess
Albania,8,2011.5,1.73,Direct,Census
Albania,8,2012.5,1.7,Direct,Estimate
Albania,8,2013.5,1.73,Direct,Estimate
Albania,8,2014.5,1.74,Direct,Estimate
Albania,8,2015.5,1.59,Direct,Estimate
Albania,8,2016.4,1.77,Direct,DHS
Albania,8,2016.5,1.54,Direct,Estimate
Albania,8,2017.5,1.48,Direct,Estimate
Algeria,12,1954.3,6.29,Direct,Census
Algeria,12,1965.8,7.43,Direct,Census
Algeria,12,1970,7.06,Direct,Survey
Algeria,12,1970,7.86,Direct,Survey
Algeria,12,1975,8.02,Indirect,PAPCHILD
Algeria,12,1977.5,7.42,Direct,VR
Algeria,12,1980,7.48,Indirect,PAPCHILD
Algeria,12,1982.5,6.77,Direct,VR
Algeria,12,1984.5,5.35,Direct,WFS
Algeria,12,1985,6.41,Indirect,PAPCHILD
Algeria,12,1986.7,5.61,Direct,Census
Algeria,12,1987.5,5.29,Direct,VR
Algeria,12,1990,4.38,Direct,PAPCHILD
Algeria,12,1990.3,4.91,Indirect,PAPFAM
Algeria,12,1990.5,4.5,Direct,Estimate
Algeria,12,1991,4.16,Direct,PAPCHILD
Algeria,12,1991.5,4.36,Direct,Estimate
Algeria,12,1992.5,4.26,Direct,Estimate
Algeria,12,1993.5,4.06,Direct,Estimate
Algeria,12,1994.5,3.97,Direct,Estimate
Algeria,12,1995.3,3.58,Direct,PAPFAM
Algeria,12,1995.3,3.65,Indirect,PAPFAM
Algeria,12,1995.5,3.51,Direct,Estimate
Algeria,12,1996.5,3.14,Direct,Estimate
Algeria,12,1998,2.73,Direct,Census
Algeria,12,1998.5,2.67,Direct,Estimate
Algeria,12,1999.5,2.64,Direct,Estimate
Algeria,12,2000.3,2.38,Direct,PAPFAM
Algeria,12,2000.5,2.63,Direct,Estimate
Algeria,12,2001.5,2.57,Direct,Estimate
Algeria,12,2002.5,2.4,Direct,Estimate
Algeria,12,2005.5,2.56,Direct,Estimate
Algeria,12,2005.8,2.68,Direct,MICS
Algeria,12,2007.8,2.75,Direct,Census
Algeria,12,2008.5,2.81,Direct,VR
Algeria,12,2008.5,2.81,Direct,Estimate
Algeria,12,2009.5,2.85,Direct,VR
Algeria,12,2009.5,2.84,Direct,Estimate
Algeria,12,2010.5,2.87,Direct,VR
Algeria,12,2010.5,2.87,Direct,Estimate
Algeria,12,2011.5,2.66,Direct,MICS
Algeria,12,2011.5,2.87,Direct,VR
Algeria,12,2011.5,2.87,Direct,Estimate
Algeria,12,2012.5,3.02,Direct,Estimate
Algeria,12,2012.5,3.02,Direct,VR
Algeria,12,2013.5,2.93,Direct,VR
Algeria,12,2013.5,2.93,Direct,Estimate
Algeria,12,2014.5,3.03,Direct,Estimate
Algeria,12,2015.5,3.09,Direct,Estimate
Angola,24,1993.7,7.24,Indirect,MIS
Angola,24,1996.8,6.91,Direct,MICS
Angola,24,1998.5,6.45,Indirect,DHS
Angola,24,1998.7,7.32,Indirect,MIS
Angola,24,1999.5,5.83,Indirect,Census
Angola,24,2000.5,5.36,Indirect,Census
Angola,24,2001,7,Direct,MICS
Angola,24,2001.5,5.48,Indirect,Census
Angola,24,2002.5,5.84,Indirect,Census
Angola,24,2003.5,6.21,Indirect,Census
Angola,24,2003.5,6.56,Indirect,DHS
Angola,24,2003.7,6.77,Indirect,MIS
Angola,24,2004.5,6.06,Indirect,Census
Angola,24,2005.5,6.09,Indirect,Census
Angola,24,2005.6,5.81,Direct,MIS
Angola,24,2005.6,5.8,Direct,MIS
Angola,24,2006.5,6.27,Indirect,Census
Angola,24,2007.5,6.62,Indirect,Census
Angola,24,2008.5,6.48,Indirect,Census
Angola,24,2008.5,6.88,Indirect,DHS
Angola,24,2008.7,6.62,Direct,MIS
Angola,24,2009.5,6.51,Indirect,Census
Angola,24,2009.7,6.31,Direct,MIS
Angola,24,2010.5,6.36,Indirect,Census
Angola,24,2011.5,6.08,Indirect,Census
Angola,24,2012.5,6.99,Indirect,Census
Angola,24,2013.5,6.31,Direct,DHS
Angola,24,2013.5,4.9,Indirect,Census
Angola,24,2013.9,5.7,Direct,Census
Angola,24,2014.5,6.22,Direct,DHS
Antigua and Barbuda,28,1991.5,2.01,Direct,VR
Antigua and Barbuda,28,1992.5,2.13,Direct,VR
Antigua and Barbuda,28,1993.5,2.04,Direct,VR
Antigua and Barbuda,28,1994.5,2.11,Direct,VR
Antigua and Barbuda,28,1995.5,2.21,Direct,VR
Antigua and Barbuda,28,1998.5,2.16,Direct,VR
Antigua and Barbuda,28,1999.5,2.08,Direct,VR
Antigua and Barbuda,28,2000.5,2.36,Direct,VR
Antigua and Barbuda,28,2001.5,2.01,Direct,VR
Antigua and Barbuda,28,2007.5,1.85,Direct,VR
Antigua and Barbuda,28,2008.5,2.05,Direct,VR
Antigua and Barbuda,28,2009.5,2.01,Direct,VR
Antigua and Barbuda,28,2010.5,1.78,Direct,VR
Antigua and Barbuda,28,2011.5,1.75,Direct,VR
Antigua and Barbuda,28,2012.5,1.66,Direct,VR
Antigua and Barbuda,28,2013.5,1.53,Direct,VR
Antigua and Barbuda,28,2014.5,1.52,Direct,VR
Antigua and Barbuda,28,2015.5,1.58,Direct,VR
Antigua and Barbuda,28,2016.5,1.45,Direct,VR
Antigua and Barbuda,28,2017.5,1.5,Direct,VR
Argentina,32,1961.5,2.53,Direct,Estimate
Argentina,32,1965.5,2.91,Direct,Estimate
Argentina,32,1966.5,2.69,Direct,Estimate
Argentina,32,1970.5,3.17,Direct,Estimate
Argentina,32,1979.5,3.44,Direct,Estimate
Argentina,32,1980.5,3.28,Direct,Estimate
Argentina,32,1980.5,3.35,Direct,VR
Argentina,32,1981.5,3.22,Direct,VR
Argentina,32,1982.5,3.11,Direct,VR
Argentina,32,1983.5,3.04,Direct,VR
Argentina,32,1984.5,2.9,Direct,VR
Argentina,32,1985.5,3,Direct,Estimate
Argentina,32,1985.5,2.94,Direct,VR
Argentina,32,1986.5,3.01,Direct,VR
Argentina,32,1987.5,2.94,Direct,VR
Argentina,32,1988.5,2.94,Direct,Estimate
Argentina,32,1988.5,2.96,Direct,VR
Argentina,32,1989.5,2.87,Direct,VR
Argentina,32,1990.5,2.9,Direct,Estimate
Argentina,32,1990.5,2.88,Direct,VR
Argentina,32,1991.5,2.95,Direct,Estimate
Argentina,32,1991.5,2.91,Direct,VR
Argentina,32,1992.5,2.8,Direct,VR
Argentina,32,1993.5,2.71,Direct,Estimate
Argentina,32,1993.5,2.72,Direct,VR
Argentina,32,1994.5,2.67,Direct,Estimate
Argentina,32,1994.5,2.7,Direct,VR
Argentina,32,1995.5,2.63,Direct,Estimate
Argentina,32,1995.5,2.6,Direct,VR
Argentina,32,1996.5,2.56,Direct,Estimate
Argentina,32,1996.5,2.64,Direct,VR
Argentina,32,1997.5,2.58,Direct,Estimate
Argentina,32,1997.5,2.66,Direct,VR
Argentina,32,1998.5,2.59,Direct,VR
Argentina,32,1999.5,2.57,Direct,VR
Argentina,32,2000.5,2.35,Direct,Estimate
Argentina,32,2000.5,2.59,Direct,VR
Argentina,32,2001.5,2.5,Direct,VR
Argentina,32,2002.5,2.5,Direct,VR
Argentina,32,2003.5,2.41,Direct,Estimate
Argentina,32,2003.5,2.48,Direct,VR
Argentina,32,2004.5,2.5,Direct,Estimate
Argentina,32,2004.5,2.58,Direct,VR
Argentina,32,2005.5,2.39,Direct,Estimate
Argentina,32,2005.5,2.46,Direct,VR
Argentina,32,2006.5,2.3,Direct,Estimate
Argentina,32,2006.5,2.36,Direct,VR
Argentina,32,2007.5,2.29,Direct,Estimate
Argentina,32,2007.5,2.34,Direct,VR
Argentina,32,2008.5,2.41,Direct,Estimate
Argentina,32,2008.5,2.45,Direct,VR
Argentina,32,2009.5,2.38,Direct,Estimate
Argentina,32,2009.5,2.41,Direct,VR
Argentina,32,2010.5,2.38,Direct,VR
Argentina,32,2010.5,2.41,Direct,Estimate
Argentina,32,2010.5,2.41,Direct,VR
Argentina,32,2010.9,2.4,Direct,MICS
Argentina,32,2011.5,2.39,Direct,Estimate
Argentina,32,2011.5,2.38,Direct,VR
Argentina,32,2012.5,2.29,Direct,VR
Argentina,32,2012.5,2.36,Direct,Estimate
Argentina,32,2012.5,2.28,Direct,VR
Argentina,32,2013.5,2.33,Direct,Estimate
Argentina,32,2013.5,2.3,Direct,VR
Argentina,32,2014.5,2.31,Direct,Estimate
Argentina,32,2014.5,2.35,Direct,VR
Argentina,32,2014.5,2.33,Direct,VR
Argentina,32,2015.5,2.31,Direct,VR
Argentina,32,2015.5,2.28,Direct,Estimate
Argentina,32,2015.5,2.28,Direct,VR
Argentina,32,2016.5,2.26,Direct,Estimate
Argentina,32,2017.5,2.24,Direct,Estimate
Armenia,51,1958.9,4.86,Direct,Estimate
Armenia,51,1959.5,4.73,Direct,VR
Armenia,51,1961.5,4.29,Direct,VR
Armenia,51,1962.5,4.18,Direct,VR
Armenia,51,1963.5,4.09,Direct,VR
Armenia,51,1964.5,3.99,Direct,VR
Armenia,51,1965.5,3.9,Direct,VR
Armenia,51,1966.5,3.7,Direct,VR
Armenia,51,1967.5,3.56,Direct,VR
Armenia,51,1968.5,3.46,Direct,VR
Armenia,51,1969.5,3.24,Direct,VR
Armenia,51,1970.5,3.16,Direct,VR
Armenia,51,1971.5,3.17,Direct,VR
Armenia,51,1972.5,3.07,Direct,VR
Armenia,51,1973.5,2.92,Direct,VR
Armenia,51,1974.5,2.82,Direct,VR
Armenia,51,1975.5,2.79,Direct,VR
Armenia,51,1976.5,2.72,Direct,VR
Armenia,51,1977.5,2.6,Direct,VR
Armenia,51,1978.5,2.43,Direct,VR
Armenia,51,1979.5,2.38,Direct,VR
Armenia,51,1980.5,2.31,Direct,VR
Armenia,51,1981.5,2.34,Direct,VR
Armenia,51,1982.5,2.32,Direct,VR
Armenia,51,1983.4,2.79,Indirect,DHS
Armenia,51,1983.5,2.42,Direct,VR
Armenia,51,1984.5,2.47,Direct,VR
Armenia,51,1985.5,2.54,Direct,VR
Armenia,51,1986.5,2.56,Direct,VR
Armenia,51,1987.5,2.54,Direct,VR
Armenia,51,1988.3,2.95,Indirect,DHS
Armenia,51,1988.4,2.87,Indirect,DHS
Armenia,51,1988.5,2.51,Direct,VR
Armenia,51,1989.5,2.61,Direct,VR
Armenia,51,1990.5,2.62,Direct,VR
Armenia,51,1991.5,2.58,Direct,VR
Armenia,51,1992.5,2.42,Direct,VR
Armenia,51,1993.3,2.67,Indirect,DHS
Armenia,51,1993.4,2.52,Indirect,DHS
Armenia,51,1993.4,2.58,Indirect,DHS
Armenia,51,1993.5,2.11,Direct,VR
Armenia,51,1994.5,1.88,Direct,VR
Armenia,51,1995.5,1.84,Direct,VR
Armenia,51,1996.5,1.83,Direct,VR
Armenia,51,1997.5,1.68,Direct,VR
Armenia,51,1998.3,1.97,Indirect,DHS
Armenia,51,1998.4,2,Indirect,DHS
Armenia,51,1998.4,1.9,Direct,DHS
Armenia,51,1998.5,1.51,Direct,VR
Armenia,51,1998.6,2.02,Direct,DHS
Armenia,51,1999.4,1.71,Direct,DHS
Armenia,51,1999.5,1.39,Direct,VR
Armenia,51,2000.5,1.31,Direct,VR
Armenia,51,2001.5,1.23,Direct,VR
Armenia,51,2002.5,1.22,Direct,VR
Armenia,51,2003.3,1.65,Direct,DHS
Armenia,51,2003.4,1.64,Indirect,DHS
Armenia,51,2003.5,1.33,Direct,VR
Armenia,51,2003.6,1.85,Direct,DHS
Armenia,51,2004.3,1.71,Direct,DHS
Armenia,51,2004.5,1.36,Direct,VR
Armenia,51,2005.5,1.34,Direct,VR
Armenia,51,2006.5,1.31,Direct,VR
Armenia,51,2007.5,1.37,Direct,VR
Armenia,51,2008.4,1.61,Direct,DHS
Armenia,51,2008.5,1.39,Direct,VR
Armenia,51,2008.6,1.8,Direct,DHS
Armenia,51,2009.4,1.71,Direct,DHS
Armenia,51,2009.5,1.49,Direct,VR
Armenia,51,2010.5,1.48,Direct,VR
Armenia,51,2011.5,1.51,Direct,VR
Armenia,51,2012.5,1.6,Direct,VR
Armenia,51,2013.5,1.6,Direct,VR
Armenia,51,2013.6,1.69,Direct,DHS
Armenia,51,2014.5,1.7,Direct,VR
Armenia,51,2014.6,1.75,Direct,DHS
Armenia,51,2015.5,1.6,Direct,VR
Armenia,51,2016.5,1.6,Direct,VR
Armenia,51,2017.5,1.58,Direct,VR
Aruba,533,1960.5,4.34,Direct,VR
Aruba,533,1972.5,2.53,Direct,VR
Aruba,533,1991.3,2.27,Direct,Census
Aruba,533,1991.3,2.28,Direct,Census
Aruba,533,1991.5,2.28,Direct,VR
Aruba,533,2000.3,1.85,Direct,Census
Aruba,533,2000.3,2.04,Direct,Census
Aruba,533,2003.5,1.63,Direct,Estimate
Aruba,533,2004.5,1.8,Direct,Estimate
Aruba,533,2005.5,1.89,Direct,Estimate
Aruba,533,2006.5,2.02,Direct,Estimate
Aruba,533,2007.5,2.02,Direct,Estimate
Aruba,533,2008.5,2.01,Direct,Estimate
Aruba,533,2009.5,1.95,Direct,Estimate
Aruba,533,2010.3,2.07,Direct,Census
Aruba,533,2010.5,1.92,Direct,Estimate
Aruba,533,2011.5,1.92,Direct,Estimate
Aruba,533,2012.5,1.97,Direct,Estimate
Aruba,533,2013.5,2.03,Direct,Estimate
Aruba,533,2014.5,2.04,Direct,Estimate
Aruba,533,2014.5,2,Direct,VR
Aruba,533,2015.5,1.82,Direct,Estimate
Aruba,533,2015.5,1.8,Direct,VR
Aruba,533,2016.5,1.62,Direct,Estimate
Aruba,533,2016.5,1.82,Direct,Estimate
Aruba,533,2016.5,1.8,Direct,VR
Aruba,533,2017.5,1.75,Direct,Estimate
Aruba,533,2017.5,1.7,Direct,VR
Aruba,533,2018.5,1.5,Direct,VR
Australia,36,1950.5,3.07,Direct,VR
Australia,36,1951.5,3.06,Direct,VR
Australia,36,1952.5,3.18,Direct,VR
Australia,36,1953.5,3.19,Direct,VR
Australia,36,1954.5,3.19,Direct,VR
Australia,36,1955.5,3.28,Direct,VR
Australia,36,1956.5,3.33,Direct,VR
Australia,36,1957.5,3.42,Direct,VR
Australia,36,1958.5,3.42,Direct,VR
Australia,36,1959.5,3.44,Direct,VR
Australia,36,1960.5,3.45,Direct,VR
Australia,36,1961.5,3.55,Direct,VR
Australia,36,1962.5,3.43,Direct,VR
Australia,36,1963.5,3.34,Direct,VR
Australia,36,1964.5,3.15,Direct,VR
Australia,36,1965.5,2.97,Direct,VR
Australia,36,1966.5,2.88,Direct,VR
Australia,36,1967.5,2.85,Direct,VR
Australia,36,1968.5,2.89,Direct,VR
Australia,36,1969.5,2.89,Direct,VR
Australia,36,1970.5,2.86,Direct,VR
Australia,36,1971.5,2.95,Direct,VR
Australia,36,1972.5,2.74,Direct,VR
Australia,36,1973.5,2.49,Direct,VR
Australia,36,1974.5,2.32,Direct,VR
Australia,36,1975.5,2.15,Direct,VR
Australia,36,1976.5,2.06,Direct,VR
Australia,36,1977.5,2.02,Direct,VR
Australia,36,1978.5,1.96,Direct,VR
Australia,36,1979.5,1.91,Direct,VR
Australia,36,1980.5,1.9,Direct,VR
Australia,36,1981.5,1.94,Direct,VR
Australia,36,1982.5,1.94,Direct,VR
Australia,36,1983.5,1.93,Direct,VR
Australia,36,1984.5,1.84,Direct,VR
Australia,36,1985.5,1.93,Direct,VR
Australia,36,1986.5,1.87,Direct,VR
Australia,36,1987.5,1.85,Direct,VR
Australia,36,1988.5,1.84,Direct,VR
Australia,36,1989.5,1.84,Direct,VR
Australia,36,1990.5,1.91,Direct,VR
Australia,36,1991.5,1.86,Direct,VR
Australia,36,1992.5,1.9,Direct,VR
Australia,36,1993.5,1.87,Direct,VR
Australia,36,1994.5,1.85,Direct,VR
Australia,36,1995.5,1.83,Direct,VR
Australia,36,1996.5,1.81,Direct,VR
Australia,36,1997.5,1.79,Direct,VR
Australia,36,1998.5,1.77,Direct,VR
Australia,36,1999.5,1.77,Direct,VR
Australia,36,2000.5,1.77,Direct,VR
Australia,36,2001.5,1.75,Direct,VR
Australia,36,2002.5,1.77,Direct,VR
Australia,36,2003.5,1.77,Direct,VR
Australia,36,2004.5,1.78,Direct,VR
Australia,36,2005.5,1.85,Direct,VR
Australia,36,2006.5,1.88,Direct,VR
Australia,36,2007.5,1.99,Direct,VR
Australia,36,2008.5,2.02,Direct,VR
Australia,36,2009.5,1.97,Direct,VR
Australia,36,2010.5,1.95,Direct,VR
Australia,36,2011.5,1.92,Direct,VR
Australia,36,2012.5,1.93,Direct,VR
Australia,36,2013.5,1.89,Direct,VR
Australia,36,2014.5,1.81,Direct,VR
Australia,36,2015.5,1.81,Direct,VR
Australia,36,2016.5,1.79,Direct,Estimate
Australia,36,2017.5,1.74,Direct,Estimate
Austria,40,1950.5,2.09,Direct,VR
Austria,40,1951.5,2.02,Direct,VR
Austria,40,1952.5,2.06,Direct,VR
Austria,40,1952.5,2.06,Direct,VR
Austria,40,1953.5,2.07,Direct,VR
Austria,40,1953.5,2.09,Direct,VR
Austria,40,1954.5,2.15,Direct,VR
Austria,40,1954.5,2.11,Direct,VR
Austria,40,1955.5,2.22,Direct,VR
Austria,40,1955.5,2.29,Direct,VR
Austria,40,1956.5,2.48,Direct,VR
Austria,40,1956.5,2.41,Direct,VR
Austria,40,1957.5,2.57,Direct,VR
Austria,40,1957.5,2.49,Direct,VR
Austria,40,1958.5,2.52,Direct,VR
Austria,40,1958.5,2.6,Direct,VR
Austria,40,1959.5,2.69,Direct,VR
Austria,40,1959.5,2.6,Direct,VR
Austria,40,1960.5,2.69,Direct,Estimate
Austria,40,1961.5,2.79,Direct,Estimate
Austria,40,1962.5,2.8,Direct,Estimate
Austria,40,1963.5,2.82,Direct,Estimate
Austria,40,1964.5,2.78,Direct,Estimate
Austria,40,1965.5,2.7,Direct,Estimate
Austria,40,1966.5,2.67,Direct,Estimate
Austria,40,1967.5,2.63,Direct,Estimate
Austria,40,1968.5,2.59,Direct,Estimate
Austria,40,1969.5,2.49,Direct,Estimate
Austria,40,1970.5,2.29,Direct,Estimate
Austria,40,1971.5,2.19,Direct,Estimate
Austria,40,1972.5,2.08,Direct,Estimate
Austria,40,1973.5,1.93,Direct,Estimate
Austria,40,1974.5,1.9,Direct,Estimate
Austria,40,1975.5,1.82,Direct,Estimate
Austria,40,1976.5,1.68,Direct,Estimate
Austria,40,1977.5,1.62,Direct,Estimate
Austria,40,1978.5,1.6,Direct,Estimate
Austria,40,1979.5,1.6,Direct,Estimate
Austria,40,1980.5,1.65,Direct,Estimate
Austria,40,1981.5,1.67,Direct,Estimate
Austria,40,1982.5,1.66,Direct,Estimate
Austria,40,1983.5,1.56,Direct,Estimate
Austria,40,1984.5,1.53,Direct,Estimate
Austria,40,1985.5,1.48,Direct,Estimate
Austria,40,1986.5,1.46,Direct,Estimate
Austria,40,1987.5,1.44,Direct,Estimate
Austria,40,1988.5,1.46,Direct,Estimate
Austria,40,1989.5,1.46,Direct,Estimate
Austria,40,1990.5,1.47,Direct,Estimate
Austria,40,1991.5,1.52,Direct,Estimate
Austria,40,1992.5,1.52,Direct,Estimate
Austria,40,1993.5,1.52,Direct,Estimate
Austria,40,1994.5,1.48,Direct,Estimate
Austria,40,1995.5,1.43,Direct,Estimate
Austria,40,1996.5,1.45,Direct,Estimate
