country_code	name	include_code
238	Falkland Islands (Malvinas)	1
254	French Guiana	2
328	Guyana	2
600	Paraguay	2
604	Peru	2
740	Suriname	2
858	Uruguay	2
862	Venezuela (Bolivarian Republic of)	2
905	Northern America	0
60	Bermuda	1
124	Canada	2
304	Greenland	1
666	Saint Pierre and Miquelon	1
840	United States of America	2
909	Oceania	0
927	Australia/New Zealand	0
36	Australia	2
554	New Zealand	2
928	Melanesia	0
242	Fiji	2
540	New Caledonia	2
598	Papua New Guinea	2
90	Solomon Islands	2
548	Vanuatu	2
954	Micronesia	0
316	Guam	2
296	Kiribati	2
584	Marshall Islands	1
583	Micronesia (Fed. States of)	2
520	Nauru	1
580	Northern Mariana Islands	1
585	Palau	1
957	Polynesia	0
16	American Samoa	1
184	Cook Islands	1
258	French Polynesia	2
570	Niue	1
882	Samoa	2
772	Tokelau	1
776	Tonga	2
798	Tuvalu	1
876	Wallis and Futuna Islands	1
